datahora,dia,mes,ano,date,time,bt,mt,at,mat,total
2023-03-01T10:15:00+00:00,01,03,2023,2023-03-01,10:15,941212.211574,619596.6228,194729.0663,60773.8427,1816311.7433739998
2023-03-02T05:45:00+00:00,02,03,2023,2023-03-02,05:45,622288.714568,407010.7002,208386.1184,77861.4768,1315547.0099680002
2023-03-02T08:15:00+00:00,02,03,2023,2023-03-02,08:15,884009.598522,598074.2696,208067.8093,77560.5773,1767712.254722
2023-03-04T09:45:00+00:00,04,03,2023,2023-03-04,09:45,870712.732224,371591.5204,201918.0758,64144.4198,1508366.748224
2023-03-05T12:15:00+00:00,05,03,2023,2023-03-05,12:15,1080989.793596,306297.9187,191177.5405,73037.7575,1651503.010296
2023-03-06T04:30:00+00:00,06,03,2023,2023-03-06,04:30,562285.492537,302812.8857,199093.8964,61047.2152,1125239.489837
2023-03-07T13:00:00+00:00,07,03,2023,2023-03-07,13:00,905386.887536,551338.3006,194229.2372,77661.831,1728616.256336
2023-03-08T11:30:00+00:00,08,03,2023,2023-03-08,11:30,968988.967528,684593.3656,196764.5946,78116.8193,1928463.7470280002
2023-03-08T16:15:00+00:00,08,03,2023,2023-03-08,16:15,918007.568639,668194.0373,202329.83,81717.0547,1870248.490639
2023-03-10T06:15:00+00:00,10,03,2023,2023-03-10,06:15,569917.025865,426375.0253,193926.8345,81567.8698,1271786.755465
2023-03-11T09:00:00+00:00,11,03,2023,2023-03-11,09:00,707953.567727,382825.311,189394.3632,78974.2613,1359147.503227
2023-03-13T05:30:00+00:00,13,03,2023,2023-03-13,05:30,502714.739059,319730.0098,183366.4919,81864.004,1087675.244759
2023-03-13T18:15:00+00:00,13,03,2023,2023-03-13,18:15,806354.438582,552033.6829,196745.192,47270.4377,1602403.751182
2023-03-14T11:30:00+00:00,14,03,2023,2023-03-14,11:30,793015.705572,589686.9738,197852.435,75357.1338,1655912.248172
2023-03-20T19:15:00+00:00,20,03,2023,2023-03-20,19:15,956771.02593,525844.5134,216553.6836,60609.527,1759778.7499300002
2023-03-20T21:45:00+00:00,20,03,2023,2023-03-20,21:45,931482.370895,466682.4922,211692.0054,67876.6429,1677733.511395
2023-03-23T01:15:00+00:00,23,03,2023,2023-03-23,01:15,569210.433243,400007.4988,204092.562,70215.5098,1243526.0038429997
2023-03-23T03:15:00+00:00,23,03,2023,2023-03-23,03:15,499432.676593,384523.6756,200814.3927,66056.0097,1150826.754593
2023-03-23T12:45:00+00:00,23,03,2023,2023-03-23,12:45,817875.351174,567691.5542,211712.4057,91295.6849,1688574.9959739998
2023-03-24T19:15:00+00:00,24,03,2023,2023-03-24,19:15,930860.574014,516330.4574,226130.9019,62343.8249,1735665.758214
2023-03-26T11:00:00+00:00,26,03,2023,2023-03-26,12:00,758082.614735,264813.8166,189093.1018,82502.7045,1294492.237635
2023-03-30T20:00:00+00:00,30,03,2023,2023-03-30,21:00,948160.652141,499669.6228,218865.3623,69772.8776,1736468.514841
2023-03-31T16:00:00+00:00,31,03,2023,2023-03-31,17:00,661870.658149,554387.197,218151.7855,78350.3587,1512759.999349
2023-03-31T20:00:00+00:00,31,03,2023,2023-03-31,21:00,911395.446597,478659.4329,223087.9135,72969.2139,1686112.0068970001
2023-04-01T00:45:00+00:00,01,04,2023,2023-04-01,01:45,534736.368661,359616.7766,210746.1047,95234.7564,1200334.006361
2023-04-01T01:00:00+00:00,01,04,2023,2023-04-01,02:00,523680.520204,356537.186,211031.9813,71767.8221,1163017.509604
2023-04-02T12:00:00+00:00,02,04,2023,2023-04-02,13:00,728494.389222,264248.9166,188564.1648,60875.7819,1242183.252522
2023-04-03T16:00:00+00:00,03,04,2023,2023-04-03,17:00,718877.25325,606445.3102,218570.8003,76011.3907,1619904.75445
2023-04-05T21:45:00+00:00,05,04,2023,2023-04-05,22:45,773179.004076,443012.2286,214710.1121,61964.4209,1492865.765676
2023-04-08T10:00:00+00:00,08,04,2023,2023-04-08,11:00,671059.902567,283070.0244,163927.9203,76578.4135,1194636.260767
2023-04-12T08:45:00+00:00,12,04,2023,2023-04-12,09:45,717984.289325,635094.2045,201527.8096,93125.4569,1647731.7603250002
2023-04-12T20:45:00+00:00,12,04,2023,2023-04-12,21:45,858965.972766,478934.1414,210046.3462,48025.0336,1595971.493966
2023-04-18T21:00:00+00:00,18,04,2023,2023-04-18,22:00,813010.758193,478521.0082,209277.4855,82541.0091,1583350.260993
2023-04-19T16:15:00+00:00,19,04,2023,2023-04-19,17:15,626055.132558,555567.9211,215079.9912,66852.9651,1463556.0099580002
2023-04-21T04:15:00+00:00,21,04,2023,2023-04-21,05:15,445260.706539,392391.1514,204501.7548,92639.3962,1134793.008939
2023-04-21T17:00:00+00:00,21,04,2023,2023-04-21,18:00,730532.137824,538921.5856,217357.1396,63050.8766,1549861.7396240002
2023-04-23T04:30:00+00:00,23,04,2023,2023-04-23,05:30,450058.889562,261216.9847,193074.2884,60844.3407,965194.503362
2023-04-24T08:00:00+00:00,24,04,2023,2023-04-24,09:00,638842.992685,485548.6924,201364.207,63977.3509,1389733.242985
2023-04-25T03:15:00+00:00,25,04,2023,2023-04-25,04:15,444111.394883,314049.2696,189507.9155,50356.6709,998025.2508830001
